city,feature_set,model,fold,mae,n_rows
sf,calendar_weather,random_forest,0,29.115391034949532,2064
sf,calendar_weather,lgbm_point,0,29.362030886323716,2064
sf,calendar_weather,naive_trailing7,1,38.25200719822813,2064
sf,calendar_weather,seasonal_naive7,1,42.236434108527135,2064
sf,calendar_weather,ridge,1,33.77201348593318,2064
sf,calendar_weather,random_forest,1,31.246050401757646,2064
sf,calendar_weather,lgbm_point,1,30.33205094116206,2064
sf,calendar_weather,naive_trailing7,2,37.92760243632336,2064
sf,calendar_weather,seasonal_naive7,2,34.80862403100775,2064
sf,calendar_weather,ridge,2,29.875863086345458,2064
sf,calendar_weather,random_forest,2,26.312607780876476,2064
sf,calendar_weather,lgbm_point,2,26.38431079282353,2064
sf,calendar_weather,naive_trailing7,3,44.671857696567,2064
sf,calendar_weather,seasonal_naive7,3,45.36918604651163,2064
sf,calendar_weather,ridge,3,37.68595801988763,2064
sf,calendar_weather,random_forest,3,41.92528573529819,2064
sf,calendar_weather,lgbm_point,3,43.85370535759251,2064
sf,calendar_weather,naive_trailing7,4,42.605135658914726,2064
sf,calendar_weather,seasonal_naive7,4,38.34738372093023,2064
sf,calendar_weather,ridge,4,33.06044617170233,2064
sf,calendar_weather,random_forest,4,31.2478600818159,2064
sf,calendar_weather,lgbm_point,4,29.191147801008498,2064
