mae,rmse,mape_floored,n_rows,n_days,scope,city,feature_set,model,split,fit_seconds,source_censor_date
61.66192273835241,137.096740400988,44.37594809763715,1932,276,global,chicago,internal,random_forest,test,24.24,
170.04231167421412,366.39050351407155,19.11912020518483,2200,275,global,nyc,internal,random_forest,val,24.25,
208.45808306334507,444.5008152497217,18.600696428761992,2208,276,global,nyc,internal,random_forest,test,24.25,
31.617167358942815,75.56321556858816,29.835382934493758,2192,274,global,sf,internal,random_forest,val,24.26,
34.742749709610784,87.63841695467526,70.74158595095098,2200,275,global,sf,internal,random_forest,test,24.26,
16.648940502030257,31.26275393263216,32.84945417416106,2200,275,global,austin,internal,lgbm_point,val,3.95,
17.077278192955735,33.12611021740788,32.134697438205436,2208,276,global,austin,internal,lgbm_point,test,3.96,
55.29572658558035,143.33741077191164,41.01790807540377,1925,275,global,chicago,internal,lgbm_point,val,3.96,
60.746801242142006,141.943390419168,36.880339323186,1932,276,global,chicago,internal,lgbm_point,test,3.97,
164.9380074998204,365.6550543042384,17.51719457866465,2200,275,global,nyc,internal,lgbm_point,val,3.97,
205.46601708654936,445.70970584564776,17.641630319642807,2208,276,global,nyc,internal,lgbm_point,test,3.98,
31.7054105516658,76.60151854406246,25.036481723786224,2192,274,global,sf,internal,lgbm_point,val,3.99,
35.38768079950094,90.89960437654842,64.91893360976432,2200,275,global,sf,internal,lgbm_point,test,3.99,
30.280649350649348,49.978467719824316,52.458263892808624,2200,275,global,austin,calendar,naive_trailing7,val,0.02,
30.371376811594203,50.156071302136,48.159494852497794,2208,276,global,austin,calendar,naive_trailing7,test,0.02,
105.76860853432281,188.8002548772577,85.34467540320014,1925,275,global,chicago,calendar,naive_trailing7,val,0.02,
111.46058858325938,201.99423320382726,84.0762069834104,1932,276,global,chicago,calendar,naive_trailing7,test,0.03,
245.53357142857143,461.6407075490844,27.237728728147943,2200,275,global,nyc,calendar,naive_trailing7,val,0.03,
305.6182712215321,571.3918531972411,27.37934710999777,2208,276,global,nyc,calendar,naive_trailing7,test,0.04,
42.45555265901981,92.11746887749817,34.97082200834225,2192,274,global,sf,calendar,naive_trailing7,val,0.04,
44.76902597402597,97.8083661259611,75.40324061281484,2200,275,global,sf,calendar,naive_trailing7,test,0.05,
20.517272727272726,39.2618019315096,40.014678512769706,2200,275,global,austin,calendar,seasonal_naive7,val,0.01,
21.61322463768116,42.77520656994481,38.985340929136555,2208,276,global,austin,calendar,seasonal_naive7,test,0.02,
70.68987012987013,188.11561242056342,55.50517528265202,1925,275,global,chicago,calendar,seasonal_naive7,val,0.02,
84.23757763975155,198.97115415641383,49.110728372275986,1932,276,global,chicago,calendar,seasonal_naive7,test,0.03,
226.67181818181817,494.43669417373803,26.362787181501464,2200,275,global,nyc,calendar,seasonal_naive7,val,0.03,
282.4388586956522,644.0911805190813,25.246462590260744,2208,276,global,nyc,calendar,seasonal_naive7,test,0.04,
37.60492700729927,87.9001590226342,34.06746419808784,2192,274,global,sf,calendar,seasonal_naive7,val,0.04,
43.78636363636364,108.41276342168976,91.2024374709818,2200,275,global,sf,calendar,seasonal_naive7,test,0.04,
22.302800340650776,34.62786731798137,50.38608446106521,2200,275,global,austin,calendar,ridge,val,0.09,
