city,regime,units,policy,config,total_loss,pct_reduction_vs_uniform,final_carryover,served_fraction_other
nyc,moderate,153,greedy_ev_point,local/internal/seasonal_naive7,101917312.0,35.944,815539.0,0.996
nyc,moderate,153,proportional,local/internal/ridge,81065321.0,49.05,634206.0,0.813
nyc,moderate,153,greedy_ev_point,local/internal/ridge,98864161.0,37.863,771919.0,0.999
nyc,moderate,153,proportional,local/internal/random_forest,81051521.0,49.058,634156.0,0.813
nyc,moderate,153,greedy_ev_point,local/internal/random_forest,98388256.0,38.162,769006.0,0.999
nyc,moderate,153,proportional,local/internal/lgbm_point,81040481.0,49.065,634116.0,0.812
nyc,moderate,153,greedy_ev_point,local/internal/lgbm_point,95165101.0,40.188,745606.0,0.999
nyc,moderate,153,proportional,local/calendar/random_forest,81040481.0,49.065,634116.0,0.812
nyc,moderate,153,greedy_ev_point,local/calendar/random_forest,97354711.0,38.812,757714.0,0.999
nyc,moderate,153,proportional,local/calendar/lgbm_point,81040481.0,49.065,634116.0,0.813
nyc,moderate,153,greedy_ev_point,local/calendar/lgbm_point,93385741.0,41.306,727713.0,0.999
nyc,moderate,153,proportional,local/calendar_weather/ridge,81055661.0,49.056,634171.0,0.813
nyc,moderate,153,greedy_ev_point,local/calendar_weather/ridge,99465551.0,37.485,773065.0,0.999
nyc,moderate,153,proportional,local/calendar_weather/random_forest,81040481.0,49.065,634116.0,0.812
nyc,moderate,153,greedy_ev_point,local/calendar_weather/random_forest,97036513.0,39.012,752312.0,0.999
nyc,moderate,153,proportional,local/calendar_weather/lgbm_point,81040481.0,49.065,634116.0,0.813
nyc,moderate,153,greedy_ev_point,local/calendar_weather/lgbm_point,91571785.0,42.446,714654.0,1.0
nyc,moderate,153,proportional,global/calendar_weather/lgbm_point,81040481.0,49.065,634116.0,0.813
nyc,moderate,153,greedy_ev_point,global/calendar_weather/lgbm_point,91699414.0,42.366,715922.0,1.0
nyc,moderate,153,greedy_ev_point,quantile/median_arm,92286377.0,41.997,721667.0,1.0
nyc,moderate,153,greedy_ev_point,quantile/implied_mean_arm,93992212.0,40.925,732506.0,1.0
nyc,moderate,153,greedy_ev_quantile,quantile/full_arm,82149267.0,48.368,643799.0,0.999
nyc,generous,187,uniform,uniform,133717691.0,0.0,1082827.0,1.0
nyc,generous,187,proportional,local/internal/naive_trailing7,18093877.0,86.469,172572.0,0.95
nyc,generous,187,greedy_ev_point,local/internal/naive_trailing7,47692481.0,64.333,411176.0,0.999
nyc,generous,187,proportional,local/internal/seasonal_naive7,17754620.0,86.722,171290.0,0.95
nyc,generous,187,greedy_ev_point,local/internal/seasonal_naive7,39219083.0,70.67,386144.0,0.999
nyc,generous,187,proportional,local/internal/ridge,17594797.0,86.842,170660.0,0.95
nyc,generous,187,greedy_ev_point,local/internal/ridge,35267585.0,73.625,324670.0,0.999
nyc,generous,187,proportional,local/internal/random_forest,17647320.0,86.803,170875.0,0.95
nyc,generous,187,greedy_ev_point,local/internal/random_forest,34675929.0,74.068,319151.0,0.999
nyc,generous,187,proportional,local/internal/lgbm_point,17623726.0,86.82,170795.0,0.95
nyc,generous,187,greedy_ev_point,local/internal/lgbm_point,31566786.0,76.393,292845.0,0.999
nyc,generous,187,proportional,local/calendar/random_forest,17597212.0,86.84,170693.0,0.95
nyc,generous,187,greedy_ev_point,local/calendar/random_forest,33245020.0,75.138,304041.0,0.999
nyc,generous,187,proportional,local/calendar/lgbm_point,17637327.0,86.81,170874.0,0.95
nyc,generous,187,greedy_ev_point,local/calendar/lgbm_point,29356590.0,78.046,272887.0,0.999
nyc,generous,187,proportional,local/calendar_weather/ridge,17643847.0,86.805,170857.0,0.95
nyc,generous,187,greedy_ev_point,local/calendar_weather/ridge,35905976.0,73.148,325357.0,0.999
nyc,generous,187,proportional,local/calendar_weather/random_forest,17588160.0,86.847,170656.0,0.95
nyc,generous,187,greedy_ev_point,local/calendar_weather/random_forest,33048603.0,75.285,298816.0,0.999
nyc,generous,187,proportional,local/calendar_weather/lgbm_point,17608997.0,86.831,170762.0,0.95
nyc,generous,187,greedy_ev_point,local/calendar_weather/lgbm_point,27875499.0,79.153,260904.0,1.0
nyc,generous,187,proportional,global/calendar_weather/lgbm_point,17586393.0,86.848,170682.0,0.95
nyc,generous,187,greedy_ev_point,global/calendar_weather/lgbm_point,28106701.0,78.981,263335.0,1.0
nyc,generous,187,greedy_ev_point,quantile/median_arm,28593828.0,78.616,268417.0,1.0
nyc,generous,187,greedy_ev_point,quantile/implied_mean_arm,30175303.0,77.434,279828.0,1.0
nyc,generous,187,greedy_ev_quantile,quantile/full_arm,18748666.0,85.979,184280.0,0.999
sf,scarce,26,uniform,uniform,57455738.0,0.0,434519.0,0.955
sf,scarce,26,proportional,local/internal/naive_trailing7,29492447.0,48.669,231169.0,0.643
