city,regime,crews,policy,config,total_unmet_weighted,total_unmet_raw,final_backlog,unmet_by_family
austin,generous,17,greedy_ev_point,local/internal/random_forest,2320778.0,2305153.0,7273.0,"[5304.0, 10150.0, 1132369.0, 1148551.0, 2136.0, 7720.0, 12058.0, 2490.0]"
austin,generous,17,proportional,local/internal/lgbm_point,301042.0,171172.0,334.0,"[12898.0, 14613.0, 33889.0, 6838.0, 23355.0, 72378.0, 118312.0, 18759.0]"
austin,generous,17,greedy_ev_point,local/internal/lgbm_point,2221405.0,2204134.0,6464.0,"[5680.0, 11127.0, 1040062.0, 1137751.0, 3471.0, 7720.0, 12834.0, 2760.0]"
austin,generous,17,proportional,local/calendar/random_forest,304444.0,174029.0,342.0,"[11632.0, 15198.0, 35335.0, 6605.0, 22380.0, 75640.0, 119462.0, 18192.0]"
austin,generous,17,greedy_ev_point,local/calendar/random_forest,2203710.0,2188321.0,6407.0,"[5278.0, 10741.0, 1027652.0, 1136151.0, 1986.0, 7154.0, 11898.0, 2850.0]"
austin,generous,17,proportional,local/calendar/lgbm_point,299058.0,170585.0,334.0,"[12384.0, 15447.0, 33455.0, 6800.0, 22764.0, 73136.0, 117066.0, 18006.0]"
austin,generous,17,greedy_ev_point,local/calendar/lgbm_point,1955521.0,1938793.0,4131.0,"[5422.0, 11057.0, 855640.0, 1057451.0, 2985.0, 7578.0, 12124.0, 3264.0]"
austin,generous,17,proportional,local/calendar_weather/ridge,340124.0,193187.0,470.0,"[13726.0, 15993.0, 38864.0, 7086.0, 27276.0, 81508.0, 135868.0, 19803.0]"
austin,generous,17,greedy_ev_point,local/calendar_weather/ridge,2500462.0,2471544.0,8866.0,"[6688.0, 16534.0, 1281069.0, 1149551.0, 7692.0, 11126.0, 21910.0, 5892.0]"
austin,generous,17,proportional,local/calendar_weather/random_forest,303291.0,173573.0,331.0,"[12140.0, 15792.0, 35482.0, 6237.0, 22425.0, 74844.0, 117828.0, 18543.0]"
austin,generous,17,greedy_ev_point,local/calendar_weather/random_forest,2258780.0,2243698.0,6557.0,"[5316.0, 10460.0, 1081284.0, 1138501.0, 1986.0, 7232.0, 11100.0, 2901.0]"
austin,generous,17,proportional,local/calendar_weather/lgbm_point,298315.0,170673.0,344.0,"[12474.0, 15455.0, 33942.0, 6751.0, 21711.0, 74006.0, 116336.0, 17640.0]"
austin,generous,17,greedy_ev_point,local/calendar_weather/lgbm_point,1853936.0,1836078.0,3413.0,"[5688.0, 10341.0, 775399.0, 1034651.0, 3198.0, 8370.0, 12974.0, 3315.0]"
austin,generous,17,proportional,global/calendar_weather/lgbm_point,300579.0,172271.0,341.0,"[11920.0, 15495.0, 34536.0, 6898.0, 21576.0, 73842.0, 118990.0, 17322.0]"
austin,generous,17,greedy_ev_point,global/calendar_weather/lgbm_point,2000089.0,1981620.0,4438.0,"[5334.0, 11690.0, 879878.0, 1073801.0, 3447.0, 8122.0, 14610.0, 3207.0]"
chicago,scarce,31,uniform,uniform,91343545.0,45965747.0,293223.0,"[1068.0, 0.0, 785013.0, 526224.0, 59097838.0, 30868434.0, 64968.0]"
chicago,scarce,31,oracle,oracle,50663795.0,33543896.0,183568.0,"[19302.0, 6246675.0, 10187903.0, 14952.0, 1192938.0, 32985234.0, 16791.0]"
chicago,scarce,31,greedy_ev_quantile,local/calendar_weather/lgbm_quantile,51905119.0,34157338.0,187315.0,"[39746.0, 6246675.0, 10187903.0, 45357.0, 1444098.0, 33911634.0, 29706.0]"
chicago,scarce,31,proportional,local/internal/naive_trailing7,64032110.0,33345051.0,182186.0,"[4400202.0, 2313825.0, 3500103.0, 4778220.0, 27357838.0, 16992334.0, 4689588.0]"
chicago,scarce,31,greedy_ev_point,local/internal/naive_trailing7,58796910.0,37602000.0,213419.0,"[31596.0, 6246675.0, 10187903.0, 44643.0, 2647038.0, 39601234.0, 37821.0]"
chicago,scarce,31,proportional,local/internal/seasonal_naive7,64062960.0,33365751.0,182261.0,"[4400502.0, 2324125.0, 3492653.0, 4751370.0, 27410338.0, 16990634.0, 4693338.0]"
chicago,scarce,31,greedy_ev_point,local/internal/seasonal_naive7,58809713.0,37607291.0,210621.0,"[25798.0, 6246675.0, 10187903.0, 49944.0, 2898676.0, 39361534.0, 39183.0]"
chicago,scarce,31,proportional,local/internal/ridge,64039510.0,33345051.0,182186.0,"[4400102.0, 2314325.0, 3506303.0, 4822920.0, 27353638.0, 16955034.0, 4687188.0]"
chicago,scarce,31,greedy_ev_point,local/internal/ridge,56482192.0,36445801.0,204871.0,"[22942.0, 6246675.0, 10187903.0, 44178.0, 2130634.0, 37818534.0, 31326.0]"
chicago,scarce,31,proportional,local/internal/random_forest,64028860.0,33345051.0,182186.0,"[4400002.0, 2311875.0, 3503953.0, 4773570.0, 27384038.0, 16965234.0, 4690188.0]"
chicago,scarce,31,greedy_ev_point,local/internal/random_forest,55143983.0,35777979.0,201571.0,"[21400.0, 6246675.0, 10187903.0, 38046.0, 1652162.0, 36968034.0, 29763.0]"
chicago,scarce,31,proportional,local/internal/lgbm_point,64024206.0,33340083.0,182168.0,"[4373702.0, 2323475.0, 3489353.0, 4782816.0, 27404238.0, 16962834.0, 4687788.0]"
chicago,scarce,31,greedy_ev_point,local/internal/lgbm_point,53853126.0,35130873.0,197336.0,"[23420.0, 6246675.0, 10187903.0, 43818.0, 1520720.0, 35796534.0, 34056.0]"
chicago,scarce,31,proportional,local/calendar/random_forest,64004256.0,33340083.0,182168.0,"[4375302.0, 2322875.0, 3504203.0, 4761066.0, 27377638.0, 16970734.0, 4692438.0]"
chicago,scarce,31,greedy_ev_point,local/calendar/random_forest,54987394.0,35700417.0,199586.0,"[21204.0, 6246675.0, 10187903.0, 36333.0, 1724664.0, 36743534.0, 27081.0]"
chicago,scarce,31,proportional,local/calendar/lgbm_point,64028010.0,33345051.0,182186.0,"[4375402.0, 2322625.0, 3499703.0, 4786770.0, 27377338.0, 16972234.0, 4693938.0]"
chicago,scarce,31,greedy_ev_point,local/calendar/lgbm_point,53201170.0,34804821.0,193236.0,"[22116.0, 6246675.0, 10187903.0, 44619.0, 1472324.0, 35193834.0, 33699.0]"
chicago,scarce,31,proportional,local/calendar_weather/ridge,64041360.0,33345051.0,182186.0,"[4400002.0, 2313125.0, 3491853.0, 4785270.0, 27400338.0, 16967334.0, 4683438.0]"
chicago,scarce,31,greedy_ev_point,local/calendar_weather/ridge,56631959.0,36521125.0,204921.0,"[23014.0, 6246675.0, 10187903.0, 41910.0, 2107872.0, 37993634.0, 30951.0]"
